Launch date;Label
November 26, 2022;CRS-26 Mission
November 22, 2022;Eutelsat 10B Mission
November 12, 2022;Intelsat G-31/G-32 Mission
November 3, 2022;Eutelsat HOTBIRD 13G Mission
November 1, 2022;USSF-44 Mission
October 27, 2022;Starlink Mission
October 20, 2022;Starlink Mission
October 15, 2022;Eutelsat HOTBIRD 13F Mission
October 14, 2022;Crew-4 Returns to Earth
October 8, 2022;Intelsat G-33/G-34 Mission
October 5, 2022;Starlink Mission
October 5, 2022;Crew-5 Mission
September 24, 2022;Starlink Mission
September 18, 2022;Starlink Mission
September 10, 2022;Starlink Mission
September 4, 2022;Starlink Mission
August 30, 2022;Starlink Mission
August 27, 2022;Starlink Mission
August 20, 2022;CRS-25 Returns to Earth
August 19, 2022;Starlink Mission
August 12, 2022;Starlink Mission
August 9, 2022;Starlink Mission
August 4, 2022;KPLO Mission
July 24, 2022;Starlink Mission
July 22, 2022;Starlink Mission
July 17, 2022;Starlink Mission
July 14, 2022;CRS-25 Mission
July 10, 2022;Starlink Mission
July 7, 2022;Starlink Mission
June 29, 2022;SES-22 Mission
June 19, 2022;Globalstar FM15 Mission
June 18, 2022;SARah-1 Mission
June 17, 2022;Starlink Mission
June 8, 2022;Nilesat 301 Mission
May 25, 2022;Transporter-5 Mission
May 18, 2022;Starlink Mission
May 14, 2022;Starlink Mission
May 13, 2022;Starlink Mission
May 6, 2022;Starlink Mission
May 6, 2022;Crew-3 Returns to Earth
April 29, 2022;Starlink Mission
April 27, 2022;Crew-4 Mission
April 21, 2022;Starlink Mission
April 15, 2022;NROL-85 Mission
April 8 - 25, 2022;Ax-1 Mission
April 1, 2022;Transporter-4 Mission
March 19, 2022;Starlink Mission
March 9, 2022;Starlink Mission
March 3, 2022;Starlink Mission
February 25, 2022;Starlink Mission
February 21, 2022;Starlink Mission
February 3, 2022;Starlink Mission
February 2, 2022;NROL-87 Mission
January 31, 2022;COSMO-SKYMED SECOND GENERATION FM2 MISSION
January 24, 2022;DRAGON RETURNS TO EARTH FOR CRS-24 MISSION
January 18, 2022;Starlink Mission
January 13, 2022;Transporter-3 Mission
January 6, 2022;Starlink Mission
December 21, 2021;CRS-24 Mission
December 18, 2021;Turksat 5B Mission
December 18, 2021;Starlink Mission
December 9, 2021;IXPE Mission
December 2, 2021;Starlink Mission
November 23, 2021;Dart Mission
November 13, 2021;Starlink Mission
November 11, 2021;Crew-3 Mission
November 8, 2021;Crew-2 Mission
SEPTEMBER 30, 2021;CRS-23 Splashdown
SEPTEMBER 18, 2021;Inspiration4 Mission
SEPTEMBER 13, 2021;Starlink Mission
AUGUST 29, 2021;CRS-23 Mission
JULY 09, 2021;Dragon Returns to Earth for CRS-22 Mission
JUNE 30, 2021;Transporter-2 Mission
